ABL1,NM_005157
EFCAB7,NM_032437
PGM1,NM_002633
ROR1,NM_005012
UBE2U,NM_001366232
CACHD1,NM_020925
AK4,NM_013410
DNAJC6,NM_001256864
LEPROT,NM_017526
LEPR,NM_002303
PDE4B,NM_002600
SGIP1,NM_032291
DYNLT5,NM_152665
INSL5,NM_005478
DNAI4,NM_024763
MIER1,NM_001077700
SLC35D1,NM_015139
C1orf141,NM_001276351
IL23R,NM_144701
IL12RB2,NM_001374259
SERBP1,NM_001018069
GADD45A,NM_001924
GNG12,NM_018841
DIRAS3,NM_004675
WLS,NM_024911
RPE65,NM_000329
DEPDC1,NM_001114120
LRRC7,NM_001370785
LRRC40,NM_017768
SRSF11,NM_001350605
ANKRD13C,NM_030816
CTH,NM_001902
PTGER3,NM_198719
ZRANB2,NM_203350
LRRIQ3,NM_001105659
FPGT,NM_003838
TNNI3K,NM_015978
LRRC53,NM_001382280
ERICH3,NM_001002912
CRYZ,NM_001889
TYW3,NM_138467
LHX8,NM_001256114
SLC44A5,NM_001130058
ACADM,NM_000016
RABGGTB,NM_004582
MSH4,NM_002440
ASB17,NM_080868
ST6GALNAC3,NM_152996
ST6GALNAC5,NM_030965
PIGK,NM_005482
AK5,NM_174858
ZZZ3,NM_015534
USP33,NM_201624
MIGA1,NM_198549
NEXN,NM_144573
DNAJB4,NM_007034
GIPC2,NM_017655
PTGFR,NM_000959
IFI44L,NM_006820
IFI44,NM_006417
ADGRL4,NM_022159
ADGRL2,NM_001366006
TTLL7,NM_024686
PRKACB,NM_182948
SAMD13,NM_001134663
DNASE2B,NM_021233
RPF1,NM_025065
GNG5,NM_005274
CTBS,NM_004388
SSX2IP,NM_001166293
LPAR3,NM_012152
MCOLN2,NM_153259
DNAI3,NM_145172
MCOLN3,NM_018298
SYDE2,NM_032184
C1orf52,NM_198077
DDAH1,NM_012137
CCN1,NM_001554
ZNHIT6,NM_017953
COL24A1,NM_152890
CLCA2,NM_006536
CLCA1,NM_001285
CLCA4,NM_012128
SH3GLB1,NM_016009
SELENOF,NM_004261
HS2ST1,NM_012262
LMO4,NM_006769
PKN2,NM_006256
GTF2B,NM_001514
KYAT3,NM_001008661
RBMXL1,NM_001162536
GBP3,NM_018284
GBP1,NM_002053
GBP2,NM_004120
GBP7,NM_207398
GBP4,NM_052941
GBP5,NM_052942
GBP6,NM_198460
LRRC8B,NM_001369817
LRRC8C,NM_032270
LRRC8D,NM_001134479
ZNF326,NM_182976
BARHL2,NM_020063
ZNF644,NM_201269
HFM1,NM_001017975
CDC7,NM_003503
TGFBR3,NM_003243
BRDT,NM_207189
EPHX4,NM_173567
BTBD8,NM_001376131
C1orf146,NM_001012425
GLMN,NM_053274
RPAP2,NM_024813
GFI1,NM_005263
EVI5,NM_001350197
RPL5,NM_000969
DIPK1A,NM_001006605
MTF2,NM_007358
TMED5,NM_016040
CCDC18,NM_001378204
DR1,NM_001938
FNBP1L,NM_001164473
BCAR3,NM_003567
DNTTIP2,NM_014597
GCLM,NM_002061
ABCA4,NM_000350
ARHGAP29,NM_004815
ABCD3,NM_002858
F3,NM_001993
SLC44A3,NM_001114106
CNN3,NM_001839
ALG14,NM_144988
TLCD4,NM_152487
RWDD3,NM_015485
PTBP2,NM_021190
DPYD,NM_000110
SNX7,NM_015976
PLPPR5,NM_001037317
PLPPR4,NM_014839
PALMD,NM_017734
FRRS1,NM_001361041
AGL,NM_000642
SLC35A3,NM_012243
MFSD14A,NM_033055
SASS6,NM_194292
TRMT13,NM_019083
LRRC39,NM_144620
DBT,NM_001918
RTCA,NM_003729
CDC14A,NM_003672
GPR88,NM_022049
VCAM1,NM_001078
EXTL2,NM_001033025
SLC30A7,NM_133496
DPH5,NM_015958
S1PR1,NM_001400
OLFM3,NM_058170
COL11A1,NM_001854
RNPC3,NM_017619
AMY2B,NM_001387437
AMY2A,NM_000699
AMY1A,NM_004038
AMY1B,NM_001008218
AMY1C,NM_001008219
PRMT6,NM_018137
NTNG1,NM_001113226
VAV3,NM_006113
SLC25A24,NM_013386
NBPF4,NM_001143989
NBPF6,NM_001143988
FAM102B,NM_001010883
HENMT1,NM_001102592
PRPF38B,NM_018061
FNDC7,NM_001144937
STXBP3,NM_007269
AKNAD1,NM_152763
GPSM2,NM_013296
CLCC1,NM_001377458
WDR47,NM_001142551
TAF13,NM_005645
TMEM167B,NM_020141
C1orf194,NM_001245025
ELAPOR1,NM_020775
SARS1,NM_006513
CELSR2,NM_001408
MYBPHL,NM_001010985
SORT1,NM_002959
PSMA5,NM_002790
SYPL2,NM_001040709
ATXN7L2,NM_001350175
CYB561D1,NM_182580
AMIGO1,NM_020703
GPR61,NM_001393907
GNAI3,NM_006496
GNAT2,NM_001377295
AMPD2,NM_001368809
GSTM4,NM_000850
GSTM2,NM_000848
GSTM1,NM_000561
GSTM5,NM_000851
GSTM3,NM_000849
EPS8L3,NM_133181
CSF1,NM_000757
AHCYL1,NM_006621
STRIP1,NM_033088
ALX3,NM_006492
UBL4B,NM_203412
SLC6A17,NM_001010898
KCNC4,NM_001039574
RBM15,NM_022768
SLC16A4,NM_004696
LAMTOR5,NM_001382293
PROK1,NM_032414
KCNA10,NM_005549
KCNA2,NM_004974
KCNA3,NM_002232
CD53,NM_000560
LRIF1,NM_018372
DRAM2,NM_001349884
CEPT1,NM_006090
DENND2D,NM_024901
CHI3L2,NM_004000
CHIA,NM_201653
PIFO,NM_181643
OVGP1,NM_002557
WDR77,NM_024102
ATP5PB,NM_001688
C1orf162,NM_001300834
TMIGD3,NM_020683
ADORA3,NM_000677
RAP1A,NM_002884
INKA2,NM_019099
DDX20,NM_007204
KCND3,NM_001378969
CTTNBP2NL,NM_018704
WNT2B,NM_024494
ST7L,NM_017744
CAPZA1,NM_006135
MOV10,NM_001321324
RHOC,NM_175744
PPM1J,NM_005167
TAFA3,NM_182759
SLC16A1,NM_003051
LRIG2,NM_014813
MAGI3,NM_001142782
PHTF1,NM_001323043
RSBN1,NM_018364
BCL2L15,NM_001010922
AP4B1,NM_001253852
DCLRE1B,NM_022836
HIPK1,NM_198268
OLFML3,NM_020190
SYT6,NM_001253772
TRIM33,NM_015906
BCAS2,NM_005872
DENND2C,NM_001256404
AMPD1,NM_000036
SIKE1,NM_025073
SYCP1,NM_003176
TSHB,NM_000549
TSPAN2,NM_005725
NGF,NM_002506
VANGL1,NM_138959
CASQ2,NM_001232
NHLH2,NM_005599
SLC22A15,NM_018420
MAB21L3,NM_152367
ATP1A1,NM_000701
CD58,NM_001779
IGSF3,NM_001007237
CD2,NM_001767
PTGFRN,NM_020440
CD101,NM_001256106
TTF2,NM_003594
TRIM45,NM_025188
MAN1A2,NM_006699
TENT5C,NM_017709
GDAP2,NM_017686
WDR3,NM_006784
SPAG17,NM_206996
TBX15,NM_001330677
WARS2,NM_015836
HAO2,NM_016527
HSD3B2,NM_000198
HSD3B1,NM_000862
ZNF697,NM_001080470
PHGDH,NM_006623
HMGCS2,NM_005518
REG4,NM_032044
ADAM30,NM_021794
SEC22B,NM_004892
PPIAL4A,NM_001143883
FAM72B,NM_001100910
SRGAP2C,NM_001329984
H3-2,NM_001372105
FAM72C,NM_001287385
PPIAL4E,NM_001144032
NBPF15,NM_001385408
PPIAL4F,NM_001164262
FAM72D,NM_207418
PPIAL4D,NM_001164261
GPR89A,NM_001097612
PDZK1,NM_001201325
CD160,NM_007053
RNF115,NM_014455
POLR3C,NM_006468
NUDT17,NM_001012758
PIAS3,NM_006099
ANKRD35,NM_144698
ITGA10,NM_003637
PEX11B,NM_003846
RBM8A,NM_005105
LIX1L,NM_153713
ANKRD34A,NM_001039888
POLR3GL,NM_032305
TXNIP,NM_006472
HJV,NM_213653
PPIAL4H,NM_001368128
PRKAB2,NM_005399
FMO5,NM_001461
CHD1L,NM_004284
BCL9,NM_004326
ACP6,NM_016361
GJA5,NM_181703
GJA8,NM_005267
GPR89B,NM_016334
NBPF11,NM_001385469
PPIAL4G,NM_001123068
NUDT4B,NM_001355407
NOTCH2NLC,NM_001364013
NBPF19,NM_001351365
PPIAL4C,NM_001135789
FCGR1A,NM_000566
H2BC18,NM_001024599
H3C13,NM_001123375
H4C14,NM_003548
H3C14,NM_021059
H2AC18,NM_003516
H2AC19,NM_001040874
H3C15,NM_001005464
H4C15,NM_001034077
H2BC21,NM_003528
H2AC20,NM_003517
H2AC21,NM_175065
BOLA1,NM_016074
SV2A,NM_014849
SF3B4,NM_005850
MTMR11,NM_001145862
OTUD7B,NM_020205
VPS45,NM_007259
PLEKHO1,NM_016274
ANP32E,NM_030920
CA14,NM_012113
APH1A,NM_001077628
C1orf54,NM_024579
CIART,NM_144697
MRPS21,NM_031901
PRPF3,NM_004698
RPRD2,NM_015203
TARS2,NM_025150
ECM1,NM_004425
ADAMTSL4,NM_019032
ENSA,NM_004436
GOLPH3L,NM_018178
HORMAD1,NM_032132
CTSS,NM_004079
CTSK,NM_000396
ARNT,NM_001668
SETDB1,NM_001366418
CERS2,NM_022075
ANXA9,NM_003568
MINDY1,NM_001376665
PRUNE1,NM_021222
BNIPL,NM_138278
C1orf56,NM_017860
CDC42SE1,NM_020239
MLLT11,NM_006818
GABPB2,NM_144618
SEMA6C,NM_030913
TNFAIP8L2,NM_024575
SCNM1,NM_024041
LYSMD1,NM_212551
TMOD4,NM_013353
VPS72,NM_005997
PIP5K1A,NM_001135638
PSMD4,NM_002810
ZNF687,NM_020832
PI4KB,NM_001369623
RFX5,NM_001025603
SELENBP1,NM_003944
PSMB4,NM_002796
POGZ,NM_015100
CGN,NM_020770
TUFT1,NM_020127
SNX27,NM_001330723
CELF3,NM_007185
RIIAD1,NM_001144956
MRPL9,NM_031420
TDRKH,NM_001083965
LINGO4,NM_001004432
RORC,NM_005060
THEM5,NM_182578
THEM4,NM_053055
S100A10,NM_002966
S100A11,NM_005620
TCHHL1,NM_001008536
TCHH,NM_007113
RPTN,NM_001122965
HRNR,NM_001009931
FLG,NM_002016
FLG2,NM_001014342
CRNN,NM_016190
LCE5A,NM_178438
CRCT1,NM_019060
LCE3E,NM_178435
LCE3D,NM_032563
LCE3C,NM_178434
LCE3B,NM_178433
LCE3A,NM_178431
LCE2D,NM_178430
LCE2C,NM_178429
LCE2B,NM_014357
LCE2A,NM_178428
LCE4A,NM_001387222
C1orf68,NM_001024679
LCE1F,NM_178354
LCE1E,NM_178353
LCE1D,NM_178352
LCE1C,NM_178351
LCE1B,NM_178349
LCE1A,NM_178348
LCE6A,NM_001128600
SMCP,NM_030663
IVL,NM_005547
SPRR4,NM_173080
SPRR3,NM_001097589
SPRR1B,NM_003125
SPRR2D,NM_006945
SPRR2A,NM_005988
SPRR2B,NM_001388198
SPRR2E,NM_001024209
SPRR2F,NM_001014450
SPRR2G,NM_001014291
LELP1,NM_001010857
PRR9,NM_001195571
LORICRIN,NM_000427
PGLYRP3,NM_052891
PGLYRP4,NM_020393
S100A9,NM_002965
S100A12,NM_005621
S100A8,NM_002964
S100A7A,NM_176823
S100A7,NM_002963
S100A6,NM_014624
S100A5,NM_001394232
S100A4,NM_002961
S100A3,NM_002960
S100A2,NM_005978
S100A16,NM_080388
S100A14,NM_020672
S100A13,NM_001024211
S100A1,NM_006271
CHTOP,NM_015607
SNAPIN,NM_012437
ILF2,NM_004515
NPR1,NM_000906
INTS3,NM_023015
SLC27A3,NM_024330
GATAD2B,NM_020699
DENND4B,NM_014856
CRTC2,NM_181715
SLC39A1,NM_001271958
CREB3L4,NM_001255978
JTB,NM_006694
RAB13,NM_002870
RPS27,NM_001030
TPM3,NM_152263
C1orf189,NM_001010979
C1orf43,NM_001098616
UBAP2L,NM_014847
HAX1,NM_006118
AQP10,NM_080429
ATP8B2,NM_001370597
IL6R,NM_000565
SHE,NM_001010846
TDRD10,NM_182499
UBE2Q1,NM_017582
CHRNB2,NM_000748
ADAR,NM_001111
KCNN3,NM_002249
PMVK,NM_006556
PBXIP1,NM_020524
PYGO2,NM_138300
SHC1,NM_001130040
CKS1B,NM_001826
FLAD1,NM_025207
LENEP,NM_001394530
ZBTB7B,NM_001256455
DCST2,NM_144622
DCST1,NM_152494
ADAM15,NM_207197
EFNA4,NM_005227
EFNA3,NM_004952
EFNA1,NM_004428
SLC50A1,NM_018845
DPM3,NM_153741
KRTCAP2,NM_173852
TRIM46,NM_025058
THBS3,NM_007112
MTX1,NM_002455
GBA,NM_000157
FAM189B,NM_006589
SCAMP3,NM_005698
CLK2,NM_001294338
HCN3,NM_020897
PKLR,NM_000298
FDPS,NM_002004
RUSC1,NM_001105203
ASH1L,NM_018489
MSTO1,NM_018116
YY1AP1,NM_139119
DAP3,NM_004632
GON4L,NM_001282860
SYT11,NM_152280
KHDC4,NM_014949
RXFP4,NM_181885
ARHGEF2,NM_001162383
SSR2,NM_003145
UBQLN4,NM_020131
LAMTOR2,NM_014017
RAB25,NM_020387
MEX3A,NM_001093725
LMNA,NM_005572
SEMA4A,NM_022367
SLC25A44,NM_014655
PMF1,NM_007221
BGLAP,NM_199173
PAQR6,NM_198406
SMG5,NM_015327
TMEM79,NM_032323
GLMP,NM_144580
VHLL,NM_001004319
CCT3,NM_005998
TSACC,NM_001304817
RHBG,NM_020407
MEF2D,NM_005920
IQGAP3,NM_178229
TTC24,NM_001105669
NAXE,NM_144772
GPATCH4,NM_182679
HAPLN2,NM_021817
BCAN,NM_021948
NES,NM_006617
CRABP2,NM_001878
ISG20L2,NM_001370150
METTL25B,NM_015997
MRPL24,NM_145729
HDGF,NM_004494
PRCC,NM_005973
SH2D2A,NM_003975
INSRR,NM_014215
PEAR1,NM_001080471
LRRC71,NM_144702
ARHGEF11,NM_198236
ETV3L,NM_001004341
ETV3,NM_001145312
FCRL5,NM_031281
FCRL4,NM_031282
FCRL3,NM_052939
FCRL2,NM_030764
FCRL1,NM_052938
CD5L,NM_005894
KIRREL1,NM_018240
CD1D,NM_001371762
CD1A,NM_001763
CD1C,NM_001765
CD1B,NM_001764
CD1E,NM_030893
OR10T2,NM_001004475
OR10K2,NM_001004476
OR10K1,NM_001004473
OR6Y1,NM_001005189
OR6P1,NM_001160325
OR10X1,NM_001004477
OR10Z1,NM_001004478
SPTA1,NM_003126
OR6K2,NM_001005279
OR6K3,NM_001005327
OR6N1,NM_001005185
OR6N2,NM_001005278
MNDA,NM_002432
PYHIN1,NM_152501
IFI16,NM_001376587
AIM2,NM_004833
CADM3,NM_001127173
ACKR1,NM_002036
FCER1A,NM_001387280
OR10J1,NM_012351
OR10J5,NM_001004469
APCS,NM_001639
CRP,NM_000567
DUSP23,NM_001319658
FCRL6,NM_001004310
SLAMF8,NM_020125
VSIG8,NM_001013661
CFAP45,NM_012337
TAGLN2,NM_003564
IGSF9,NM_001135050
SLAMF9,NM_033438
KCNJ10,NM_002241
PIGM,NM_145167
KCNJ9,NM_004983
IGSF8,NM_052868
ATP1A2,NM_000702
ATP1A4,NM_144699
CASQ1,NM_001231
PEA15,NM_003768
DCAF8,NM_015726
PEX19,NM_002857
COPA,NM_004371
NCSTN,NM_015331
NHLH1,NM_005598
VANGL2,NM_020335
SLAMF6,NM_001184714
CD84,NM_003874
SLAMF1,NM_003037
CD48,NM_001778
SLAMF7,NM_021181
LY9,NM_002348
CD244,NM_016382
ITLN1,NM_017625
ITLN2,NM_080878
F11R,NM_016946
TSTD1,NM_001113207
USF1,NM_007122
ARHGAP30,NM_001025598
NECTIN4,NM_030916
KLHDC9,NM_152366
PFDN2,NM_012394
NIT1,NM_005600
DEDD,NM_032998
UFC1,NM_016406
USP21,NM_001014443
PPOX,NM_001122764
B4GALT3,NM_003779
ADAMTS4,NM_005099
NDUFS2,NM_001377299
FCER1G,NM_004106
APOA2,NM_001643
TOMM40L,NM_032174
NR1I3,NM_005122
PCP4L1,NM_001102566
MPZ,NM_000530
CFAP126,NM_001013625
FCGR2A,NM_001136219
HSPA6,NM_002155
FCGR3A,NM_000569
FCGR3B,NM_001244753
FCGR2B,NM_001394477
FCRLA,NM_032738
DUSP12,NM_007240
ATF6,NM_007348
OLFML2B,NM_015441
NOS1AP,NM_014697
SPATA46,NM_182581
C1orf226,NM_001085375
SH2D1B,NM_053282
UHMK1,NM_175866
HSD17B7,NM_016371
CCDC190,NM_001394065
RGS4,NM_005613
RGS5,NM_003617
PBX1,NM_002585
LMX1A,NM_177398
RXRG,NM_006917
LRRC52,NM_001005214
MGST3,NM_004528
ALDH9A1,NM_000696
TMCO1,NM_019026
UCK2,NM_012474
FAM78B,NM_001017961
POGK,NM_017542
TADA1,NM_053053
ILDR2,NM_199351
MAEL,NM_032858
GPA33,NM_005814
STYXL2,NM_001080426
POU2F1,NM_002697
CD247,NM_198053
CREG1,NM_003851
RCSD1,NM_052862
MPZL1,NM_003953
ADCY10,NM_018417
MPC2,NM_001143674
DCAF6,NM_001198956
GPR161,NM_001375883
TIPRL,NM_152902
SFT2D2,NM_199344
TBX19,NM_005149
XCL2,NM_003175
XCL1,NM_002995
DPT,NM_001937
ATP1B1,NM_001677
NME7,NM_013330
BLZF1,NM_001320973
CCDC181,NM_001300969
SLC19A2,NM_006996
F5,NM_000130
SELP,NM_003005
C1orf112,NM_001320047
SELL,NM_000655
SELE,NM_000450
METTL18,NM_033418
SCYL3,NM_020423
KIFAP3,NM_014970
NTMT2,NM_001136107
GORAB,NM_152281
PRRX1,NM_022716
MROH9,NM_001163629
FMO3,NM_001002294
FMO2,NM_001460
FMO1,NM_001282693
FMO4,NM_002022
PRRC2C,NM_001387844
MYOCOS,NM_001391940
MYOC,NM_000261
VAMP4,NM_003762
METTL13,NM_015935
DNM3,NM_015569
PIGC,NM_153747
C1orf105,NM_139240
SUCO,NM_014283
FASLG,NM_000639
TNFSF18,NM_005092
TNFSF4,NM_003326
PRDX6,NM_004905
SLC9C2,NM_178527
ANKRD45,NM_198493
TEX50,NM_001195190
KLHL20,NM_014458
CENPL,NM_001387287
DARS2,NM_018122
SERPINC1,NM_000488
RC3H1,NM_172071
RABGAP1L,NM_001366446
GPR52,NM_005684
CACYBP,NM_014412
MRPS14,NM_022100
TNN,NM_022093
KIAA0040,NM_014656
TNR,NM_003285
COP1,NM_022457
PAPPA2,NM_020318
ASTN1,NM_004319
BRINP2,NM_021165
SEC16B,NM_033127
RASAL2,NM_170692
TEX35,NM_032126
RALGPS2,NM_152663
ANGPTL1,NM_004673
FAM20B,NM_014864
TOR3A,NM_022371
ABL2,NM_007314
SOAT1,NM_003101
AXDND1,NM_144696
NPHS2,NM_014625
TDRD5,NM_001199085
FAM163A,NM_173509
TOR1AIP2,NM_001199260
TOR1AIP1,NM_015602
CEP350,NM_014810
QSOX1,NM_002826
LHX4,NM_033343
ACBD6,NM_032360
XPR1,NM_004736
KIAA1614,NM_020950
STX6,NM_005819
MR1,NM_001385161
IER5,NM_016545
CACNA1E,NM_001205293
ZNF648,NM_001009992
GLUL,NM_001033044
TEDDM1,NM_172000
RGSL1,NM_001137669
RNASEL,NM_021133
RGS16,NM_002928
NPL,NM_030769
DHX9,NM_001357
SHCBP1L,NM_030933
LAMC1,NM_002293
LAMC2,NM_005562
NMNAT2,NM_015039
SMG7,NM_001375584
NCF2,NM_000433
ARPC5,NM_005717
RGL1,NM_001297671
APOBEC4,NM_203454
COLGALT2,NM_015101
TSEN15,NM_052965
C1orf21,NM_030806
EDEM3,NM_025191
NIBAN1,NM_052966
RNF2,NM_007212
TRMT1L,NM_030934
SWT1,NM_017673
IVNS1ABP,NM_006469
HMCN1,NM_031935
PRG4,NM_005807
TPR,NM_003292
ODR4,NM_017847
PDC,NM_002597
PTGS2,NM_000963
PLA2G4A,NM_024420
BRINP3,NM_199051
RGS18,NM_130782
RGS21,NM_001039152
RGS1,NM_002922
RGS13,NM_002927
RGS2,NM_002923
UCHL5,NM_001199261
RO60,NM_001173524
GLRX2,NM_197962
B3GALT2,NM_003783
KCNT2,NM_198503
CFH,NM_000186
CFHR3,NM_021023
CFHR1,NM_002113
CFHR4,NM_001201550
CFHR2,NM_005666
CFHR5,NM_030787
F13B,NM_001994
ASPM,NM_018136
ZBTB41,NM_194314
CRB1,NM_201253
DENND1B,NM_001195215
C1orf53,NM_001024594
LHX9,NM_020204
NEK7,NM_133494
ATP6V1G3,NM_001376861
PTPRC,NM_002838
NR5A2,NM_205860
ZNF281,NM_001281293
KIF14,NM_014875
DDX59,NM_001031725
CAMSAP2,NM_203459
GPR25,NM_005298
INAVA,NM_001142569
KIF21B,NM_001252102
CACNA1S,NM_000069
ASCL5,NM_001270601
TMEM9,NM_001288565
IGFN1,NM_001164586
PKP1,NM_001005337
TNNT2,NM_001276345
LAD1,NM_005558
TNNI1,NM_003281
PHLDA3,NM_012396
CSRP1,NM_004078
IPO9,NM_018085
SHISA4,NM_198149
LMOD1,NM_012134
TIMM17A,NM_006335
RNPEP,NM_020216
GPR37L1,NM_004767
ARL8A,NM_138795
PTPN7,NM_002832
LGR6,NM_001017403
UBE2T,NM_014176
PPP1R12B,NM_002481
SYT2,NM_177402
KDM5B,NM_006618
RABIF,NM_002871
KLHL12,NM_021633
ADIPOR1,NM_015999
CYB5R1,NM_016243
TMEM183A,NM_138391
PPFIA4,NM_001304331
MYOG,NM_002479
ADORA1,NM_000674
MYBPH,NM_004997
CHI3L1,NM_001276
CHIT1,NM_003465
BTG2,NM_006763
FMOD,NM_002023
PRELP,NM_002725
OPTC,NM_014359
ATP2B4,NM_001684
LAX1,NM_017773
ZC3H11A,NM_001376342
SNRPE,NM_003094
SOX13,NM_005686
ETNK2,NM_018208
REN,NM_000537
KISS1,NM_002256
GOLT1A,NM_198447
PLEKHA6,NM_014935
PPP1R15B,NM_032833
PIK3C2B,NM_001377334
LRRN2,NM_201630
NFASC,NM_001005388
CNTN2,NM_005076
TMEM81,NM_203376
RBBP5,NM_005057
DSTYK,NM_015375
TMCC2,NM_014858
NUAK2,NM_030952
KLHDC8A,NM_018203
LEMD1,NM_001199050
CDK18,NM_212502
MFSD4A,NM_181644
ELK4,NM_001973
SLC45A3,NM_033102
NUCKS1,NM_022731
RAB29,NM_003929
SLC41A1,NM_173854
PM20D1,NM_152491
SLC26A9,NM_052934
RAB7B,NM_001164522
CTSE,NM_001910
RHEX,NM_001007544
AVPR1B,NM_000707
FAM72A,NM_001123168
SRGAP2,NM_015326
RASSF5,NM_182663
EIF2D,NM_006893
DYRK3,NM_003582
MAPKAPK2,NM_032960
IL19,NM_153758
IL20,NM_018724
IL24,NM_006850
FCMR,NM_005449
PIGR,NM_002644
FCAMR,NM_001170631
C1orf116,NM_023938
PFKFB2,NM_006212
YOD1,NM_018566
C4BPB,NM_001017365
C4BPA,NM_000715
CD55,NM_000574
CR2,NM_001006658
CR1,NM_000651
CR1L,NM_175710
CD46,NM_172351
CD34,NM_001025109
PLXNA2,NM_025179
CAMK1G,NM_020439
LAMB3,NM_000228
G0S2,NM_015714
HSD11B1,NM_005525
TRAF3IP3,NM_025228
C1orf74,NM_152485
IRF6,NM_006147
UTP25,NM_014388
SERTAD4,NM_019605
HHAT,NM_018194
KCNH1,NM_172362
RCOR3,NM_001136223
TRAF5,NM_001033910
RD3,NM_001164688
SLC30A1,NM_021194
NEK2,NM_002497
LPGAT1,NM_014873
INTS7,NM_015434
DTL,NM_016448
PPP2R5A,NM_006243
PACC1,NM_018252
NENF,NM_013349
ATF3,NM_001674
FAM71A,NM_153606
BATF3,NM_018664
NSL1,NM_015471
TATDN3,NM_001042552
SPATA45,NM_001024601
FLVCR1,NM_014053
VASH2,NM_001301056
ANGEL2,NM_144567
RPS6KC1,NM_012424
PROX1,NM_001270616
SMYD2,NM_020197
PTPN14,NM_005401
CENPF,NM_016343
KCNK2,NM_001017425
KCTD3,NM_016121
USH2A,NM_206933
ESRRG,NM_001438
GPATCH2,NM_018040
SPATA17,NM_138796
RRP15,NM_016052
TGFB2,NM_003238
LYPLAL1,NM_138794
SLC30A10,NM_018713
EPRS1,NM_004446
BPNT1,NM_006085
IARS2,NM_018060
RAB3GAP2,NM_012414
MARK1,NM_018650
C1orf115,NM_024709
MTARC2,NM_017898
MTARC1,NM_022746
HLX,NM_021958
DUSP10,NM_007207
HHIPL2,NM_024746
TAF1A,NM_005681
MIA3,NM_198551
AIDA,NM_022831
BROX,NM_144695
FAM177B,NM_001394345
DISP1,NM_001377229
TLR5,NM_003268
SUSD4,NM_017982
CCDC185,NM_152610
CAPN8,NM_001143962
CAPN2,NM_001748
TP53BP2,NM_001031685
FBXO28,NM_015176
DEGS1,NM_003676
NVL,NM_002533
CNIH4,NM_014184
WDR26,NM_001379403
CNIH3,NM_152495
DNAH14,NM_001367479
LBR,NM_002296
ENAH,NM_018212
SRP9,NM_003133
EPHX1,NM_001136018
TMEM63A,NM_014698
LEFTY1,NM_020997
PYCR2,NM_013328
LEFTY2,NM_003240
SDE2,NM_152608
H3-3A,NM_002107
ACBD3,NM_022735
MIXL1,NM_031944
LIN9,NM_001366245
STUM,NM_001003665
ITPKB,NM_002221
PSEN2,NM_000447
COQ8A,NM_020247
CDC42BPA,NM_001394014
ZNF678,NM_001367909
SNAP47,NM_053052
JMJD4,NM_023007
WNT9A,NM_003395
WNT3A,NM_033131
ARF1,NM_001658
C1orf35,NM_024319
MRPL55,NM_181463
GUK1,NM_000858
GJC2,NM_020435
IBA57,NM_001010867
OBSCN,NM_001386125
TRIM11,NM_145214
TRIM17,NM_016102
H3-4,NM_003493
H2AW,NM_033445
H2BU1,NM_175055
RNF187,NM_001010858
RHOU,NM_021205
RAB4A,NM_004578
CCSAP,NM_145257
ACTA1,NM_001100
NUP133,NM_018230
ABCB10,NM_012089
URB2,NM_014777
GALNT2,NM_004481
PGBD5,NM_001258311
COG2,NM_007357
AGT,NM_001384479
CAPN9,NM_006615
C1orf198,NM_032800
TTC13,NM_024525
ARV1,NM_022786
FAM89A,NM_198552
TRIM67,NM_001004342
C1orf131,NM_152379
GNPAT,NM_014236
EXOC8,NM_175876
SPRTN,NM_032018
EGLN1,NM_022051
TSNAX,NM_005999
DISC1,NM_018662
SIPA1L2,NM_020808
MAP10,NM_019090
NTPCR,NM_032324
PCNX2,NM_014801
MAP3K21,NM_032435
KCNK1,NM_002245
SLC35F3,NM_173508
COA6,NM_001206641
TARBP1,NM_005646
IRF2BP2,NM_182972
TOMM20,NM_014765
RBM34,NM_015014
ARID4B,NM_016374
GGPS1,NM_004837
TBCE,NM_003193
B3GALNT2,NM_152490
GNG4,NM_001098722
LYST,NM_000081
NID1,NM_002508
GPR137B,NM_003272
ERO1B,NM_019891
EDARADD,NM_145861
LGALS8,NM_201544
HEATR1,NM_018072
ACTN2,NM_001103
MTR,NM_000254
MT1HL1,NM_001276687
RYR2,NM_001035
ZP4,NM_021186
CHRM3,NM_001375978
FMN2,NM_020066
GREM2,NM_022469
RGS7,NM_001364886
KMO,NM_003679
OPN3,NM_014322
CHML,NM_001381853
WDR64,NM_001367482
EXO1,NM_130398
BECN2,NM_001290693
MAP1LC3C,NM_001004343
PLD5,NM_001372062
CEP170,NM_014812
SDCCAG8,NM_006642
ZBTB18,NM_205768
C1orf100,NM_001012970
ADSS2,NM_001126
CATSPERE,NM_001130957
DESI2,NM_016076
COX20,NM_198076
HNRNPU,NM_031844
EFCAB2,NM_032328
KIF26B,NM_018012
TFB2M,NM_022366
CNST,NM_152609
SCCPDH,NM_016002
AHCTF1,NM_001323342
ZNF695,NM_020394
ZNF670,NM_033213
ZNF669,NM_001142572
ZNF124,NM_001297568
ZNF496,NM_032752
NLRP3,NM_001243133
OR2B11,NM_001004492
GCSAML,NM_145278
OR2C3,NM_198074
OR2G2,NM_001001915
OR2G3,NM_001001914
OR13G1,NM_001005487
OR6F1,NM_001005286
OR14K1,NM_001004732
OR1C1,NM_012353
OR14A16,NM_001001966
OR11L1,NM_001001959
TRIM58,NM_015431
OR2W3,NM_001001957
